ID,iExec,FO,IterAlvo,TotalIter,Tempo
2-0.3.60,0,16502,375,953,30.15768840
2-0.3.60,1,16503,314,1013,30.88176904
2-0.3.60,2,16503,30,1011,30.31175654
2-0.3.60,3,16503,146,982,30.14697930
2-0.3.60,4,16502,841,986,30.17862070
2-0.3.60,5,16504,90,686,30.173448833
2-0.3.60,6,16502,93,308,30.54245220
2-0.3.60,7,16503,80,310,30.35486119
2-0.3.60,8,16503,144,280,30.77270908
2-0.3.60,9,16502,22,360,30.61885654
