ID,iExec,FO,IterAlvo,TotalIter,Tempo
17-400.0.95.0.0.0.01,0,15078,1715,2715,17.38656612
17-400.0.95.0.0.0.01,1,15078,818,1818,11.445560326
17-400.0.95.0.0.0.01,2,15083,1430,2430,15.421191689
17-400.0.95.0.0.0.01,3,15078,1471,2471,16.158517235
17-400.0.95.0.0.0.01,4,15078,1479,2479,15.407628447
17-400.0.95.0.0.0.01,5,15078,1138,2138,12.345475207
17-400.0.95.0.0.0.01,6,15078,1736,2736,14.648058746
17-400.0.95.0.0.0.01,7,15078,2037,3037,16.48821648
17-400.0.95.0.0.0.01,8,15078,1740,2740,15.177538477
17-400.0.95.0.0.0.01,9,15078,1220,2220,12.693017090
