ID,iExec,FO,IterAlvo,TotalIter,Tempo
42-800.0.99.0.1.0.005,0,15103,1831,2831,14.48298876
42-800.0.99.0.1.0.005,1,15130,1687,2687,13.377891568
42-800.0.99.0.1.0.005,2,15111,1523,2523,12.596902391
42-800.0.99.0.1.0.005,3,15140,1208,2208,10.996241467
42-800.0.99.0.1.0.005,4,15137,1930,2930,14.591530942
42-800.0.99.0.1.0.005,5,15154,1724,2724,13.621439543
42-800.0.99.0.1.0.005,6,15118,3000,4000,19.926027811
42-800.0.99.0.1.0.005,7,15162,1984,2984,14.915998858
42-800.0.99.0.1.0.005,8,15125,990,1990,9.878647446
42-800.0.99.0.1.0.005,9,15097,1940,2940,14.658975332
