ID,iExec,FO,IterAlvo,TotalIter,Tempo
1-200.0.95.0.0.0.01,0,15079,2095,3095,1.799677908
1-200.0.95.0.0.0.01,1,15078,1714,2714,1.572360084
1-200.0.95.0.0.0.01,2,15083,2451,3451,2.7141631
1-200.0.95.0.0.0.01,3,15083,2600,3600,2.107206595
1-200.0.95.0.0.0.01,4,15079,2125,3125,1.818956153
1-200.0.95.0.0.0.01,5,15087,2266,3266,1.899841559
1-200.0.95.0.0.0.01,6,15081,2127,3127,1.840056436
1-200.0.95.0.0.0.01,7,15078,2222,3222,1.884210787
1-200.0.95.0.0.0.01,8,15078,2686,3686,2.164760149
1-200.0.95.0.0.0.01,9,15084,1975,2975,1.718061960
