ID,iExec,FO,IterAlvo,TotalIter,Tempo
38-800.0.95.1.1.0.005,0,15086,3401,4401,27.29310092
38-800.0.95.1.1.0.005,1,15147,2269,3269,20.193630238
38-800.0.95.1.1.0.005,2,15096,3472,4472,27.583530038
38-800.0.95.1.1.0.005,3,15094,2264,3264,20.134465621
38-800.0.95.1.1.0.005,4,15177,1926,2926,18.152041579
38-800.0.95.1.1.0.005,5,15153,1907,2907,17.988304724
38-800.0.95.1.1.0.005,6,15098,2329,3329,20.487285842
38-800.0.95.1.1.0.005,7,15141,1453,2453,15.225853897
38-800.0.95.1.1.0.005,8,15132,2319,3319,20.497416636
38-800.0.95.1.1.0.005,9,15158,1942,2942,18.28801704
