ID,iExec,FO,IterAlvo,TotalIter,Tempo
4-200.0.95.1.0.0.005,0,15087,1985,2985,12.204078836
4-200.0.95.1.0.0.005,1,15078,4434,5434,20.394226674
4-200.0.95.1.0.0.005,2,15086,5034,6034,22.624973343
4-200.0.95.1.0.0.005,3,15084,3157,4157,15.508223854
4-200.0.95.1.0.0.005,4,15085,3481,4481,17.186598226
4-200.0.95.1.0.0.005,5,15079,5415,6415,24.503776820
4-200.0.95.1.0.0.005,6,15078,6373,7373,23.333600862
4-200.0.95.1.0.0.005,7,15078,2578,3578,10.800271507
4-200.0.95.1.0.0.005,8,15079,2768,3768,10.970764936
4-200.0.95.1.0.0.005,9,15086,1975,2975,9.210840835
