ID,iExec,FO,IterAlvo,TotalIter,Tempo
23-400.0.95.1.1.0.01,0,15222,4049,4323,30.114324626
23-400.0.95.1.1.0.01,1,15134,1988,2988,22.859372228
23-400.0.95.1.1.0.01,2,15230,3005,4005,28.72664922
23-400.0.95.1.1.0.01,3,15263,3656,3743,30.26333668
23-400.0.95.1.1.0.01,4,15116,1833,2833,22.907668521
23-400.0.95.1.1.0.01,5,15090,2359,3359,27.583129913
23-400.0.95.1.1.0.01,6,15163,1916,2916,23.250159941
23-400.0.95.1.1.0.01,7,15175,2159,3159,25.299339877
23-400.0.95.1.1.0.01,8,15137,3222,3877,30.43587825
23-400.0.95.1.1.0.01,9,15117,2391,3391,28.928528
