ID,iExec,FO,IterAlvo,TotalIter,Tempo
36-800.0.95.1.0.0.005,0,15079,1256,2256,13.815797112
36-800.0.95.1.0.0.005,1,15078,1217,2217,13.636705690
36-800.0.95.1.0.0.005,2,15078,743,1743,10.654111586
36-800.0.95.1.0.0.005,3,15078,1390,2390,14.754721631
36-800.0.95.1.0.0.005,4,15078,1169,2169,13.483376992
36-800.0.95.1.0.0.005,5,15078,1269,2269,14.96685369
36-800.0.95.1.0.0.005,6,15078,1687,2687,16.613846922
36-800.0.95.1.0.0.005,7,15078,1638,2638,16.314256732
36-800.0.95.1.0.0.005,8,15078,1002,2002,12.402405590
36-800.0.95.1.0.0.005,9,15078,1235,2235,13.914830036
