ID,iExec,FO,IterAlvo,TotalIter,Tempo
29-400.0.99.1.0.0.01,0,15078,1458,1664,30.81814106
29-400.0.99.1.0.0.01,1,15081,1637,1723,30.104847046
29-400.0.99.1.0.0.01,2,15078,1194,1716,30.179762214
29-400.0.99.1.0.0.01,3,15078,1672,1927,30.160654268
29-400.0.99.1.0.0.01,4,15078,1652,1730,30.83231022
29-400.0.99.1.0.0.01,5,15078,1460,1786,30.23390836
29-400.0.99.1.0.0.01,6,15079,701,1701,29.945640932
29-400.0.99.1.0.0.01,7,15078,1038,1718,30.215257164
29-400.0.99.1.0.0.01,8,15083,1504,1715,30.79945819
29-400.0.99.1.0.0.01,9,15079,1058,1892,30.178534013
