ID,iExec,FO,IterAlvo,TotalIter,Tempo
22-400.0.95.1.1.0.005,0,15157,3281,3643,30.36752194
22-400.0.95.1.1.0.005,1,15081,3251,3839,30.76898868
22-400.0.95.1.1.0.005,2,15108,3571,3812,30.75885539
22-400.0.95.1.1.0.005,3,15156,3251,3650,30.32890475
22-400.0.95.1.1.0.005,4,15164,3214,3790,30.2960538
22-400.0.95.1.1.0.005,5,15094,3650,3832,30.151887048
22-400.0.95.1.1.0.005,6,15126,3681,3786,30.2366709
22-400.0.95.1.1.0.005,7,15261,3192,3697,30.92116387
22-400.0.95.1.1.0.005,8,15103,3362,3619,30.13608470
22-400.0.95.1.1.0.005,9,15093,2366,3366,26.869607866
