ID,iExec,FO,IterAlvo,TotalIter,Tempo
33-800.0.95.0.0.0.01,0,15078,678,1678,8.103435451
33-800.0.95.0.0.0.01,1,15078,594,1594,7.719245231
33-800.0.95.0.0.0.01,2,15078,745,1745,8.468379076
33-800.0.95.0.0.0.01,3,15078,627,1627,7.890380901
33-800.0.95.0.0.0.01,4,15078,614,1614,7.853291736
33-800.0.95.0.0.0.01,5,15078,408,1408,6.845300730
33-800.0.95.0.0.0.01,6,15078,452,1452,7.51012240
33-800.0.95.0.0.0.01,7,15078,1000,2000,9.700428010
33-800.0.95.0.0.0.01,8,15078,822,1822,8.860606434
33-800.0.95.0.0.0.01,9,15078,860,1860,9.3363557
