ID,iExec,FO,IterAlvo,TotalIter,Tempo
1-0.3.30,0,15082,552,586,30.39533478
1-0.3.30,1,15088,198,578,30.184427840
1-0.3.30,2,15089,112,620,30.654379
1-0.3.30,3,15085,327,592,30.100916721
1-0.3.30,4,15088,74,584,30.161829341
1-0.3.30,5,15087,188,560,30.83977660
1-0.3.30,6,15088,127,542,30.3627992
1-0.3.30,7,15082,15,597,30.96009683
1-0.3.30,8,15086,14,541,30.55811855
1-0.3.30,9,15086,383,532,30.99798480
