ID,iExec,FO,IterAlvo,TotalIter,Tempo
2-0.3.60,0,15078,689,1037,30.30664809
2-0.3.60,1,15080,855,960,30.40380957
2-0.3.60,2,15078,115,1027,30.36636141
2-0.3.60,3,15080,222,1037,30.1463972
2-0.3.60,4,15078,834,967,30.46267363
2-0.3.60,5,15079,452,666,30.38346844
2-0.3.60,6,15082,125,291,30.158698249
2-0.3.60,7,15078,148,302,30.119280050
2-0.3.60,8,15080,9,271,30.55626186
2-0.3.60,9,15081,180,296,30.102487962
