ID,iExec,FO,IterAlvo,TotalIter,Tempo
47-800.0.99.1.1.0.01,0,16528,1178,2178,6.967541977
47-800.0.99.1.1.0.01,1,16647,637,1637,5.250134705
47-800.0.99.1.1.0.01,2,16597,873,1873,6.20685706
47-800.0.99.1.1.0.01,3,16603,953,1953,6.268489811
47-800.0.99.1.1.0.01,4,16591,1055,2055,6.549140616
47-800.0.99.1.1.0.01,5,16514,688,1688,5.385953522
47-800.0.99.1.1.0.01,6,16514,844,1844,5.925137837
47-800.0.99.1.1.0.01,7,16512,1226,2226,7.226775777
47-800.0.99.1.1.0.01,8,16532,1131,2131,6.895313208
47-800.0.99.1.1.0.01,9,16533,922,1922,6.177644886
