ID,iExec,FO,IterAlvo,TotalIter,Tempo
44-800.0.99.1.0.0.005,0,16502,1717,2717,8.541646699
44-800.0.99.1.0.0.005,1,16502,1317,2317,13.561626448
44-800.0.99.1.0.0.005,2,16502,975,1975,12.771880610
44-800.0.99.1.0.0.005,3,16502,889,1889,12.134835781
44-800.0.99.1.0.0.005,4,16502,1158,2158,13.884301699
44-800.0.99.1.0.0.005,5,16502,1048,2048,13.209846895
44-800.0.99.1.0.0.005,6,16502,1535,2535,16.379527950
44-800.0.99.1.0.0.005,7,16502,2024,3024,19.521462333
44-800.0.99.1.0.0.005,8,16502,1750,2750,17.748067670
44-800.0.99.1.0.0.005,9,16502,896,1896,12.343009878
