ID,iExec,FO,IterAlvo,TotalIter,Tempo
15-200.0.99.1.1.0.01,0,16526,3214,4214,15.951239490
15-200.0.99.1.1.0.01,1,16517,5352,6352,23.741621287
15-200.0.99.1.1.0.01,2,16599,2656,3656,14.543483493
15-200.0.99.1.1.0.01,3,16517,4225,5225,19.183466940
15-200.0.99.1.1.0.01,4,16602,4379,5379,20.509740073
15-200.0.99.1.1.0.01,5,16564,2803,3803,14.498468214
15-200.0.99.1.1.0.01,6,16638,3907,4907,19.877701464
15-200.0.99.1.1.0.01,7,16525,5016,6016,25.502109270
15-200.0.99.1.1.0.01,8,16512,3602,4602,16.900646451
15-200.0.99.1.1.0.01,9,16519,2681,3681,13.962368710
