ID,iExec,FO,IterAlvo,TotalIter,Tempo
33-800.0.95.0.0.0.01,0,16502,910,1910,9.292443007
33-800.0.95.0.0.0.01,1,16502,812,1812,8.866215635
33-800.0.95.0.0.0.01,2,16502,796,1796,8.760896319
33-800.0.95.0.0.0.01,3,16502,886,1886,9.216511851
33-800.0.95.0.0.0.01,4,16502,646,1646,7.962712385
33-800.0.95.0.0.0.01,5,16502,874,1874,9.125693369
33-800.0.95.0.0.0.01,6,16502,769,1769,8.619287390
33-800.0.95.0.0.0.01,7,16502,755,1755,8.523919232
33-800.0.95.0.0.0.01,8,16502,542,1542,7.487694258
33-800.0.95.0.0.0.01,9,16502,576,1576,7.696484480
