ID,iExec,FO,IterAlvo,TotalIter,Tempo
46-800.0.99.1.1.0.005,0,16604,1835,2835,8.910399100
46-800.0.99.1.1.0.005,1,16565,2062,3062,9.690785066
46-800.0.99.1.1.0.005,2,16635,1979,2979,9.448979239
46-800.0.99.1.1.0.005,3,16550,2067,3067,9.657115106
46-800.0.99.1.1.0.005,4,16538,2138,3138,9.980300488
46-800.0.99.1.1.0.005,5,16575,1528,2528,7.982150871
46-800.0.99.1.1.0.005,6,16508,2703,3703,11.725352355
46-800.0.99.1.1.0.005,7,16522,2244,3244,10.200057367
46-800.0.99.1.1.0.005,8,16613,1776,2776,8.742939314
46-800.0.99.1.1.0.005,9,16511,2123,3123,9.800739344
