ID,iExec,FO,IterAlvo,TotalIter,Tempo
28-400.0.99.1.0.0.005,0,16509,1685,1714,30.18899587
28-400.0.99.1.0.0.005,1,16505,1661,1774,30.219669823
28-400.0.99.1.0.0.005,2,16506,1512,1862,30.139886411
28-400.0.99.1.0.0.005,3,16504,1527,1647,30.123125627
28-400.0.99.1.0.0.005,4,16510,1380,1851,30.23080685
28-400.0.99.1.0.0.005,5,16508,1350,1570,30.281666560
28-400.0.99.1.0.0.005,6,16503,1644,1812,30.118336277
28-400.0.99.1.0.0.005,7,16507,1795,1845,30.118156523
28-400.0.99.1.0.0.005,8,16510,1822,1938,30.92952168
28-400.0.99.1.0.0.005,9,16506,1653,1922,30.194374489
