ID,iExec,FO,IterAlvo,TotalIter,Tempo
2-200.0.95.0.1.0.005,0,16504,6459,7459,19.582845881
2-200.0.95.0.1.0.005,1,16515,4471,5471,12.849347553
2-200.0.95.0.1.0.005,2,16711,5276,6276,17.274602865
2-200.0.95.0.1.0.005,3,16507,6402,7402,19.44737337
2-200.0.95.0.1.0.005,4,16534,6177,7177,17.445188796
2-200.0.95.0.1.0.005,5,16556,5199,6199,16.741537027
2-200.0.95.0.1.0.005,6,16597,7483,8483,22.441758913
2-200.0.95.0.1.0.005,7,16569,4401,5401,13.617133850
2-200.0.95.0.1.0.005,8,16624,4155,5155,14.142253235
2-200.0.95.0.1.0.005,9,16566,5626,6626,19.274261053
