ID,iExec,FO,IterAlvo,TotalIter,Tempo
6-200.0.95.1.1.0.005,0,16633,4136,5136,18.499865427
6-200.0.95.1.1.0.005,1,16586,5553,6553,25.553452439
6-200.0.95.1.1.0.005,2,16507,5487,6487,23.769428051
6-200.0.95.1.1.0.005,3,16628,5381,6381,23.375754250
6-200.0.95.1.1.0.005,4,16609,5362,6362,23.556432898
6-200.0.95.1.1.0.005,5,16539,7012,7311,30.116298862
6-200.0.95.1.1.0.005,6,16513,7697,7907,30.12818523
6-200.0.95.1.1.0.005,7,16605,5769,6769,24.41957881
6-200.0.95.1.1.0.005,8,16587,5022,6022,23.247160535
6-200.0.95.1.1.0.005,9,16544,8067,8167,30.146719861
