ID,iExec,FO,IterAlvo,TotalIter,Tempo
32-800.0.95.0.0.0.005,0,16502,1946,2946,14.165647397
32-800.0.95.0.0.0.005,1,16503,826,1826,8.746996834
32-800.0.95.0.0.0.005,2,16503,1493,2493,11.972547227
32-800.0.95.0.0.0.005,3,16502,694,1694,8.163407588
32-800.0.95.0.0.0.005,4,16506,676,1676,8.11321114
32-800.0.95.0.0.0.005,5,16502,1852,2852,13.710050339
32-800.0.95.0.0.0.005,6,16502,910,1910,9.180120647
32-800.0.95.0.0.0.005,7,16502,1194,2194,10.491182314
32-800.0.95.0.0.0.005,8,16502,1085,2085,9.997114216
32-800.0.95.0.0.0.005,9,16502,877,1877,8.969481580
