ID,iExec,FO,IterAlvo,TotalIter,Tempo
23-400.0.95.1.1.0.01,0,16565,1165,2165,16.166836765
23-400.0.95.1.1.0.01,1,16502,1541,2541,19.494938653
23-400.0.95.1.1.0.01,2,16591,2599,3599,28.43283446
23-400.0.95.1.1.0.01,3,16629,1915,2915,21.764226796
23-400.0.95.1.1.0.01,4,16557,2213,3213,24.98847713
23-400.0.95.1.1.0.01,5,16635,1948,2948,21.330853693
23-400.0.95.1.1.0.01,6,16664,2245,3245,20.991136449
23-400.0.95.1.1.0.01,7,16748,1577,2577,17.969723991
23-400.0.95.1.1.0.01,8,16586,1608,2608,18.839760579
23-400.0.95.1.1.0.01,9,16606,2487,3487,26.869914975
