ID,iExec,FO,IterAlvo,TotalIter,Tempo
42-800.0.99.0.1.0.005,0,16564,2167,3167,15.719517951
42-800.0.99.0.1.0.005,1,16787,1773,2773,13.802422200
42-800.0.99.0.1.0.005,2,16515,1815,2815,14.47793851
42-800.0.99.0.1.0.005,3,16608,1257,2257,11.253117601
42-800.0.99.0.1.0.005,4,16597,2185,3185,15.874367045
42-800.0.99.0.1.0.005,5,16623,2388,3388,16.942286882
42-800.0.99.0.1.0.005,6,16558,1408,2408,11.974639571
42-800.0.99.0.1.0.005,7,16512,2367,3367,16.769268717
42-800.0.99.0.1.0.005,8,16633,2165,3165,15.768083502
42-800.0.99.0.1.0.005,9,16587,3018,4018,20.72812328
