ID,iExec,FO,IterAlvo,TotalIter,Tempo
8-200.0.99.0.0.0.005,0,16502,3156,4156,12.399775278
8-200.0.99.0.0.0.005,1,16502,3907,4907,12.537725170
8-200.0.99.0.0.0.005,2,16505,2713,3713,10.930649697
8-200.0.99.0.0.0.005,3,16506,4061,5061,13.317894090
8-200.0.99.0.0.0.005,4,16503,2390,3390,9.86366512
8-200.0.99.0.0.0.005,5,16503,3433,4433,10.956678530
8-200.0.99.0.0.0.005,6,16502,3344,4344,12.29674275
8-200.0.99.0.0.0.005,7,16505,3019,4019,10.810038104
8-200.0.99.0.0.0.005,8,16510,2737,3737,10.528456869
8-200.0.99.0.0.0.005,9,16516,1930,2930,7.771751408
