ID,iExec,FO,IterAlvo,TotalIter,Tempo
20-400.0.95.1.0.0.005,0,16503,1472,2472,19.453970568
20-400.0.95.1.0.0.005,1,16502,2441,3441,28.74558628
20-400.0.95.1.0.0.005,2,16503,2126,3126,25.69692623
20-400.0.95.1.0.0.005,3,16502,2710,3710,29.928882158
20-400.0.95.1.0.0.005,4,16502,1600,2600,21.87264612
20-400.0.95.1.0.0.005,5,16502,2168,3168,25.188581452
20-400.0.95.1.0.0.005,6,16505,2762,3762,29.796138979
20-400.0.95.1.0.0.005,7,16502,2550,3550,28.943551289
20-400.0.95.1.0.0.005,8,16503,1434,2434,19.279193835
20-400.0.95.1.0.0.005,9,16502,2699,3699,28.244931281
