ID,iExec,FO,IterAlvo,TotalIter,Tempo
38-800.0.95.1.1.0.005,0,16561,1580,2580,15.907157769
38-800.0.95.1.1.0.005,1,16576,2489,3489,21.522307929
38-800.0.95.1.1.0.005,2,16536,1600,2600,15.899962806
38-800.0.95.1.1.0.005,3,16564,2716,3716,23.237923376
38-800.0.95.1.1.0.005,4,16505,3319,4319,26.607629353
38-800.0.95.1.1.0.005,5,16528,1487,2487,15.288745027
38-800.0.95.1.1.0.005,6,16629,1872,2872,17.719970184
38-800.0.95.1.1.0.005,7,16551,1907,2907,17.987147630
38-800.0.95.1.1.0.005,8,16505,3091,4091,25.230363912
38-800.0.95.1.1.0.005,9,16511,2633,3633,22.563745941
