ID,iExec,FO,IterAlvo,TotalIter,Tempo
21-400.0.95.1.0.0.01,0,16502,831,1831,13.816043337
21-400.0.95.1.0.0.01,1,16502,1040,2040,15.767686345
21-400.0.95.1.0.0.01,2,16502,643,1643,13.343984997
21-400.0.95.1.0.0.01,3,16502,942,1942,15.407152093
21-400.0.95.1.0.0.01,4,16502,1244,2244,17.700661955
21-400.0.95.1.0.0.01,5,16502,762,1762,14.175743390
21-400.0.95.1.0.0.01,6,16502,1601,2601,21.683017039
21-400.0.95.1.0.0.01,7,16502,1383,2383,19.843428880
21-400.0.95.1.0.0.01,8,16502,1514,2514,19.827426284
21-400.0.95.1.0.0.01,9,16502,691,1691,12.378996226
