ID,iExec,FO,IterAlvo,TotalIter,Tempo
20-400.0.95.1.0.0.005,0,16110,2101,3101,23.936033322
20-400.0.95.1.0.0.005,1,16109,2503,3503,27.751880548
20-400.0.95.1.0.0.005,2,16109,2853,3853,29.753392454
20-400.0.95.1.0.0.005,3,16109,2737,3737,28.520660700
20-400.0.95.1.0.0.005,4,16109,2921,3754,30.8483623
20-400.0.95.1.0.0.005,5,16110,1338,2338,19.418288334
20-400.0.95.1.0.0.005,6,16110,3219,3991,30.75904981
20-400.0.95.1.0.0.005,7,16109,2395,3395,23.892399212
20-400.0.95.1.0.0.005,8,16115,1817,2817,20.108901793
20-400.0.95.1.0.0.005,9,16112,1829,2829,19.446860316
