ID,iExec,FO,IterAlvo,TotalIter,Tempo
2-200.0.95.0.1.0.005,0,16183,6148,7148,21.11031330
2-200.0.95.0.1.0.005,1,16175,4537,5537,16.890439137
2-200.0.95.0.1.0.005,2,16119,6234,7234,22.641260908
2-200.0.95.0.1.0.005,3,16211,4500,5500,17.326067150
2-200.0.95.0.1.0.005,4,16145,7108,8108,25.109018941
2-200.0.95.0.1.0.005,5,16169,4509,5509,15.527708520
2-200.0.95.0.1.0.005,6,16114,4468,5468,16.388947320
2-200.0.95.0.1.0.005,7,16212,8428,9428,28.84999799
2-200.0.95.0.1.0.005,8,16264,5142,6142,19.88030091
2-200.0.95.0.1.0.005,9,16354,5463,6463,19.296651880
