ID,iExec,FO,IterAlvo,TotalIter,Tempo
29-400.0.99.1.0.0.01,0,16111,1309,1695,30.158896652
29-400.0.99.1.0.0.01,1,16110,1120,1896,30.344261024
29-400.0.99.1.0.0.01,2,16109,1368,1878,30.159378036
29-400.0.99.1.0.0.01,3,16109,1645,1843,30.13580817
29-400.0.99.1.0.0.01,4,16113,1708,1811,30.174707761
29-400.0.99.1.0.0.01,5,16110,633,1633,26.785295155
29-400.0.99.1.0.0.01,6,16112,1101,1909,30.100932033
29-400.0.99.1.0.0.01,7,16109,833,1833,28.522766283
29-400.0.99.1.0.0.01,8,16114,831,1753,30.104726697
29-400.0.99.1.0.0.01,9,16112,1094,1943,30.83779678
