ID,iExec,FO,IterAlvo,TotalIter,Tempo
46-800.0.99.1.1.0.005,0,16223,1328,2328,7.373827174
46-800.0.99.1.1.0.005,1,16226,1957,2957,9.367956919
46-800.0.99.1.1.0.005,2,16179,1995,2995,9.542811634
46-800.0.99.1.1.0.005,3,16138,2162,3162,10.37900230
46-800.0.99.1.1.0.005,4,16693,1398,2398,7.612791056
46-800.0.99.1.1.0.005,5,16127,1247,2247,7.88026635
46-800.0.99.1.1.0.005,6,16165,3062,4062,12.902475805
46-800.0.99.1.1.0.005,7,16289,1556,2556,8.22246207
46-800.0.99.1.1.0.005,8,16142,1761,2761,8.750660444
46-800.0.99.1.1.0.005,9,16253,1892,2892,9.58068168
