ID,iExec,FO,IterAlvo,TotalIter,Tempo
42-800.0.99.0.1.0.005,0,16238,1668,2668,13.530954079
42-800.0.99.0.1.0.005,1,16140,2436,3436,17.544094264
42-800.0.99.0.1.0.005,2,16190,3256,4256,21.723176344
42-800.0.99.0.1.0.005,3,16166,1922,2922,14.896844071
42-800.0.99.0.1.0.005,4,16302,1957,2957,15.10398715
42-800.0.99.0.1.0.005,5,16109,2247,3247,16.534988166
42-800.0.99.0.1.0.005,6,16129,2687,3687,18.826370947
42-800.0.99.0.1.0.005,7,16137,1875,2875,14.662333693
42-800.0.99.0.1.0.005,8,16155,1458,2458,12.556584014
42-800.0.99.0.1.0.005,9,16121,2111,3111,15.851112916
