ID,iExec,FO,IterAlvo,TotalIter,Tempo
31-400.0.99.1.1.0.01,0,16339,1227,2227,7.87320824
31-400.0.99.1.1.0.01,1,16284,1905,2905,9.319479270
31-400.0.99.1.1.0.01,2,16181,3635,4635,14.900995863
31-400.0.99.1.1.0.01,3,16200,1901,2901,9.749574715
31-400.0.99.1.1.0.01,4,16130,1745,2745,13.332294786
31-400.0.99.1.1.0.01,5,16269,2464,3464,17.869031045
31-400.0.99.1.1.0.01,6,16123,1875,2875,14.73575361
31-400.0.99.1.1.0.01,7,16147,1195,2195,11.384082103
31-400.0.99.1.1.0.01,8,16283,1381,2381,12.415706725
31-400.0.99.1.1.0.01,9,16154,2062,3062,16.987244349
