ID,iExec,FO,IterAlvo,TotalIter,Tempo
36-800.0.95.1.0.0.005,0,16109,1240,2240,13.894522870
36-800.0.95.1.0.0.005,1,16109,1555,2555,15.924983483
36-800.0.95.1.0.0.005,2,16109,1332,2332,14.407410153
36-800.0.95.1.0.0.005,3,16109,1004,2004,12.290293171
36-800.0.95.1.0.0.005,4,16109,785,1785,10.942666193
36-800.0.95.1.0.0.005,5,16109,1096,2096,12.810981163
36-800.0.95.1.0.0.005,6,16109,1365,2365,14.650361935
36-800.0.95.1.0.0.005,7,16110,1348,2348,14.437722682
36-800.0.95.1.0.0.005,8,16109,1367,2367,14.623785306
36-800.0.95.1.0.0.005,9,16110,1061,2061,12.773875550
