ID,iExec,FO,IterAlvo,TotalIter,Tempo
19-400.0.95.0.1.0.01,0,16149,2205,3205,16.618980803
19-400.0.95.0.1.0.01,1,16270,2202,3202,16.623894458
19-400.0.95.0.1.0.01,2,16213,1816,2816,15.763572370
19-400.0.95.0.1.0.01,3,16193,1443,2443,12.899420074
19-400.0.95.0.1.0.01,4,16224,1628,2628,14.53382976
19-400.0.95.0.1.0.01,5,16182,1201,2201,11.436947619
19-400.0.95.0.1.0.01,6,16168,1848,2848,15.382688904
19-400.0.95.0.1.0.01,7,16163,1464,2464,14.128406525
19-400.0.95.0.1.0.01,8,16229,1880,2880,15.997165219
19-400.0.95.0.1.0.01,9,16118,1735,2735,14.309960113
