ID, iExec, FO, IterAlvo, TotalIter, Tempo
2-0.3.60, 0, 14798, 194, 1056, 30.87906177
2-0.3.60, 1, 14798, 377, 1035, 30.35679673
2-0.3.60, 2, 14798, 162, 1111, 30.40894362
2-0.3.60, 3, 14798, 355, 1052, 30.29509703
2-0.3.60, 4, 14799, 45, 1046, 30.3904247
2-0.3.60, 5, 14798, 204, 708, 30.177736691
2-0.3.60, 6, 14798, 133, 304, 30.199007942
2-0.3.60, 7, 14799, 127, 328, 30.138462955
2-0.3.60, 8, 14799, 26, 343, 30.201243121
2-0.3.60, 9, 14799, 44, 318, 30.159603206
