ID,iExec,FO,IterAlvo,TotalIter,Tempo
25-400.0.99.0.0.0.01,0,15770,1159,2159,13.864885944
25-400.0.99.0.0.0.01,1,15770,1625,2625,16.647768241
25-400.0.99.0.0.0.01,2,15770,1202,2202,14.37210987
25-400.0.99.0.0.0.01,3,15770,1651,2651,16.461454520
25-400.0.99.0.0.0.01,4,15770,2316,3316,21.213057665
25-400.0.99.0.0.0.01,5,15770,1705,2705,17.304403645
25-400.0.99.0.0.0.01,6,15770,1304,2304,13.984229995
25-400.0.99.0.0.0.01,7,15770,1481,2481,15.420467602
25-400.0.99.0.0.0.01,8,15771,725,1725,10.761455769
25-400.0.99.0.0.0.01,9,15770,977,1977,12.292575539
