ID,iExec,FO,IterAlvo,TotalIter,Tempo
2-200.0.95.0.1.0.005,0,15838,7498,8498,23.520303075
2-200.0.95.0.1.0.005,1,15953,4364,5364,15.556088846
2-200.0.95.0.1.0.005,2,15826,4311,5311,15.442956630
2-200.0.95.0.1.0.005,3,15886,4767,5767,16.801075411
2-200.0.95.0.1.0.005,4,15841,6527,7527,21.776046938
2-200.0.95.0.1.0.005,5,15826,8071,9071,23.319110825
2-200.0.95.0.1.0.005,6,15841,6863,7863,18.945952285
2-200.0.95.0.1.0.005,7,16045,4056,5056,12.441962940
2-200.0.95.0.1.0.005,8,15920,7193,8193,15.727805034
2-200.0.95.0.1.0.005,9,15869,9412,10412,18.380054749
