ID,iExec,FO,IterAlvo,TotalIter,Tempo
5-200.0.95.1.0.0.01,0,15770,2212,3212,11.37627614
5-200.0.95.1.0.0.01,1,15770,2175,3175,11.732827941
5-200.0.95.1.0.0.01,2,15770,2761,3761,12.948558338
5-200.0.95.1.0.0.01,3,15770,2397,3397,11.747975991
5-200.0.95.1.0.0.01,4,15770,2760,3760,11.877874054
5-200.0.95.1.0.0.01,5,15781,1700,2700,9.232050233
5-200.0.95.1.0.0.01,6,15772,2420,3420,11.846972176
5-200.0.95.1.0.0.01,7,15770,2265,3265,10.544517070
5-200.0.95.1.0.0.01,8,15771,1700,2700,8.601478442
5-200.0.95.1.0.0.01,9,15770,2060,3060,9.672065942
