ID,iExec,FO,IterAlvo,TotalIter,Tempo
21-400.0.95.1.0.0.01,0,15770,1289,2289,17.304471389
21-400.0.95.1.0.0.01,1,15770,1135,2135,17.825150519
21-400.0.95.1.0.0.01,2,15770,1246,2246,18.743265180
21-400.0.95.1.0.0.01,3,15770,947,1947,15.94000321
21-400.0.95.1.0.0.01,4,15770,1525,2525,19.890290605
21-400.0.95.1.0.0.01,5,15770,1295,2295,19.35519314
21-400.0.95.1.0.0.01,6,15770,1358,2358,19.122335980
21-400.0.95.1.0.0.01,7,15775,966,1966,15.180558203
21-400.0.95.1.0.0.01,8,15770,1303,2303,16.495036046
21-400.0.95.1.0.0.01,9,15770,1521,2521,19.103824512
