ID,iExec,FO,IterAlvo,TotalIter,Tempo
0-200.0.95.0.0.0.005,0,15771,4187,5187,6.77683808
0-200.0.95.0.0.0.005,1,15772,5010,6010,7.120558248
0-200.0.95.0.0.0.005,2,15770,4243,5243,6.67574891
0-200.0.95.0.0.0.005,3,15776,3765,4765,5.582280781
0-200.0.95.0.0.0.005,4,15771,3629,4629,5.460425354
0-200.0.95.0.0.0.005,5,15775,4044,5044,5.895511500
0-200.0.95.0.0.0.005,6,15772,2239,3239,3.801524079
0-200.0.95.0.0.0.005,7,15772,2883,3883,4.517964580
0-200.0.95.0.0.0.005,8,15770,3144,4144,4.787623893
0-200.0.95.0.0.0.005,9,15776,3826,4826,5.605551100
