ID,iExec,FO,IterAlvo,TotalIter,Tempo
45-800.0.99.1.0.0.01,0,15770,425,1425,4.510674011
45-800.0.99.1.0.0.01,1,15770,810,1810,5.680445960
45-800.0.99.1.0.0.01,2,15770,530,1530,4.847063923
45-800.0.99.1.0.0.01,3,15770,660,1660,5.240533291
45-800.0.99.1.0.0.01,4,15770,824,1824,5.744050379
45-800.0.99.1.0.0.01,5,15770,951,1951,6.173366324
45-800.0.99.1.0.0.01,6,15775,800,1800,5.690587045
45-800.0.99.1.0.0.01,7,15770,444,1444,4.515815326
45-800.0.99.1.0.0.01,8,15770,592,1592,5.2304019
45-800.0.99.1.0.0.01,9,15770,647,1647,5.183785941
