ID,iExec,FO,IterAlvo,TotalIter,Tempo
37-800.0.95.1.0.0.01,0,15770,558,1558,9.735109262
37-800.0.95.1.0.0.01,1,15770,543,1543,9.502952465
37-800.0.95.1.0.0.01,2,15770,995,1995,12.373221819
37-800.0.95.1.0.0.01,3,15775,1089,2089,12.929290094
37-800.0.95.1.0.0.01,4,15770,1272,2272,14.155897424
37-800.0.95.1.0.0.01,5,15775,713,1713,10.648093300
37-800.0.95.1.0.0.01,6,15770,996,1996,12.278969169
37-800.0.95.1.0.0.01,7,15770,653,1653,10.114054847
37-800.0.95.1.0.0.01,8,15770,665,1665,10.353252294
37-800.0.95.1.0.0.01,9,15770,795,1795,11.201771205
