ID,iExec,FO,IterAlvo,TotalIter,Tempo
7-200.0.95.1.1.0.01,0,15847,4902,5902,23.579118814
7-200.0.95.1.1.0.01,1,16331,2618,3618,13.625300493
7-200.0.95.1.1.0.01,2,15837,2888,3888,14.153596010
7-200.0.95.1.1.0.01,3,15858,4642,5642,21.715654418
7-200.0.95.1.1.0.01,4,15930,5007,6007,23.363152573
7-200.0.95.1.1.0.01,5,15867,3088,4088,16.190186784
7-200.0.95.1.1.0.01,6,15842,4169,5169,20.824345917
7-200.0.95.1.1.0.01,7,15985,5313,6313,23.567053801
7-200.0.95.1.1.0.01,8,15931,3854,4854,17.828887647
7-200.0.95.1.1.0.01,9,15797,4050,5050,20.469232194
