ID,iExec,FO,IterAlvo,TotalIter,Tempo
20-400.0.95.1.0.0.005,0,15770,2117,3117,24.55218138
20-400.0.95.1.0.0.005,1,15775,1756,2756,20.747431325
20-400.0.95.1.0.0.005,2,15770,2552,3552,28.144524351
20-400.0.95.1.0.0.005,3,15770,2341,3341,27.278790852
20-400.0.95.1.0.0.005,4,15770,3433,3785,30.43886025
20-400.0.95.1.0.0.005,5,15775,2482,3482,24.831015448
20-400.0.95.1.0.0.005,6,15770,2110,3110,22.530512683
20-400.0.95.1.0.0.005,7,15770,2955,3955,28.204188725
20-400.0.95.1.0.0.005,8,15775,2173,3173,20.843092708
20-400.0.95.1.0.0.005,9,15775,2618,3618,25.206194908
