ID,iExec,FO,IterAlvo,TotalIter,Tempo
29-400.0.99.1.0.0.01,0,15770,1345,1869,30.198788677
29-400.0.99.1.0.0.01,1,15770,1498,1893,30.79764613
29-400.0.99.1.0.0.01,2,15770,1091,2007,30.178090423
29-400.0.99.1.0.0.01,3,15770,1059,1788,30.5932642
29-400.0.99.1.0.0.01,4,15772,1131,1860,30.305861464
29-400.0.99.1.0.0.01,5,15770,1667,1896,30.145868167
29-400.0.99.1.0.0.01,6,15775,1582,1778,30.155937876
29-400.0.99.1.0.0.01,7,15770,763,1763,28.206496314
29-400.0.99.1.0.0.01,8,15770,1046,1753,30.288127846
29-400.0.99.1.0.0.01,9,15770,1519,1727,30.39811491
