ID,iExec,FO,IterAlvo,TotalIter,Tempo
40-800.0.99.0.0.0.005,0,15770,1183,2183,10.898784115
40-800.0.99.0.0.0.005,1,15770,1196,2196,10.925543069
40-800.0.99.0.0.0.005,2,15770,1871,2871,14.304600862
40-800.0.99.0.0.0.005,3,15770,1642,2642,13.46272672
40-800.0.99.0.0.0.005,4,15770,1162,2162,10.774351747
40-800.0.99.0.0.0.005,5,15775,1255,2255,11.270715788
40-800.0.99.0.0.0.005,6,15775,1199,2199,10.938790156
40-800.0.99.0.0.0.005,7,15770,1908,2908,14.509002278
40-800.0.99.0.0.0.005,8,15770,1180,2180,10.802261959
40-800.0.99.0.0.0.005,9,15770,1394,2394,11.957042267
