ID,iExec,FO,IterAlvo,TotalIter,Tempo
10-200.0.99.0.1.0.005,0,16254,8041,9041,24.963782933
10-200.0.99.0.1.0.005,1,15872,4410,5410,13.652316880
10-200.0.99.0.1.0.005,2,15817,6739,7739,20.670388899
10-200.0.99.0.1.0.005,3,15883,5066,6066,17.775681170
10-200.0.99.0.1.0.005,4,15799,5684,6684,18.64696353
10-200.0.99.0.1.0.005,5,15933,6817,7817,22.381591076
10-200.0.99.0.1.0.005,6,15941,6406,7406,20.426356245
10-200.0.99.0.1.0.005,7,15800,7480,8480,23.30299772
10-200.0.99.0.1.0.005,8,15960,6997,7997,20.332265821
10-200.0.99.0.1.0.005,9,15813,4948,5948,17.469980636
