ID,iExec,FO,IterAlvo,TotalIter,Tempo
39-800.0.95.1.1.0.01,0,15839,1130,2130,13.159862203
39-800.0.95.1.1.0.01,1,15912,1171,2171,13.338676216
39-800.0.95.1.1.0.01,2,15794,1217,2217,13.631245864
39-800.0.95.1.1.0.01,3,15807,1835,2835,17.556889094
39-800.0.95.1.1.0.01,4,15894,1072,2072,12.813264421
39-800.0.95.1.1.0.01,5,15809,1230,2230,13.795091341
39-800.0.95.1.1.0.01,6,15843,1241,2241,14.15310743
39-800.0.95.1.1.0.01,7,15936,1299,2299,14.231025471
39-800.0.95.1.1.0.01,8,15854,1282,2282,14.208639356
39-800.0.95.1.1.0.01,9,15905,972,1972,12.166264677
