ID,iExec,FO,IterAlvo,TotalIter,Tempo
12-200.0.99.1.0.0.005,0,15770,4225,5225,21.232929105
12-200.0.99.1.0.0.005,1,15771,4710,5710,22.47893983
12-200.0.99.1.0.0.005,2,15771,4602,5602,21.757420222
12-200.0.99.1.0.0.005,3,15775,2729,3729,15.20658933
12-200.0.99.1.0.0.005,4,15771,3315,4315,18.57018272
12-200.0.99.1.0.0.005,5,15772,3355,4355,17.241585332
12-200.0.99.1.0.0.005,6,15772,3432,4432,17.406804390
12-200.0.99.1.0.0.005,7,15776,2432,3432,13.158637013
12-200.0.99.1.0.0.005,8,15770,4418,5418,20.271932494
12-200.0.99.1.0.0.005,9,15771,3835,4835,18.596259239
