ID,iExec,FO,IterAlvo,TotalIter,Tempo
13-200.0.99.1.0.0.01,0,15771,3275,4275,16.806528488
13-200.0.99.1.0.0.01,1,15776,1860,2860,10.658834344
13-200.0.99.1.0.0.01,2,15770,2338,3338,12.622358624
13-200.0.99.1.0.0.01,3,15770,2779,3779,15.527532544
13-200.0.99.1.0.0.01,4,15770,2875,3875,15.511430497
13-200.0.99.1.0.0.01,5,15770,2416,3416,14.147667202
13-200.0.99.1.0.0.01,6,15771,2366,3366,14.451588659
13-200.0.99.1.0.0.01,7,15771,1914,2914,11.762562466
13-200.0.99.1.0.0.01,8,15770,3065,4065,16.579760477
13-200.0.99.1.0.0.01,9,15770,3822,4822,17.653189592
