ID,iExec,FO,IterAlvo,TotalIter,Tempo
6-200.0.95.1.1.0.005,0,15859,5290,6290,23.135548332
6-200.0.95.1.1.0.005,1,15960,7634,8274,30.57107100
6-200.0.95.1.1.0.005,2,15876,7407,7737,30.8202623
6-200.0.95.1.1.0.005,3,15919,5589,6589,24.92682149
6-200.0.95.1.1.0.005,4,15955,4870,5870,22.484990923
6-200.0.95.1.1.0.005,5,15799,6404,7404,27.126259647
6-200.0.95.1.1.0.005,6,15829,6077,7077,26.437586762
6-200.0.95.1.1.0.005,7,15856,5983,6983,26.929272871
6-200.0.95.1.1.0.005,8,15801,5159,6159,23.537063684
6-200.0.95.1.1.0.005,9,15874,7629,8629,29.432422527
