ID,iExec,FO,IterAlvo,TotalIter,Tempo
26-400.0.99.0.1.0.005,0,15843,3613,4613,26.474181118
26-400.0.99.0.1.0.005,1,15817,4411,4534,30.63722219
26-400.0.99.0.1.0.005,2,15832,4215,4379,30.22241551
26-400.0.99.0.1.0.005,3,15925,3663,4663,28.483644650
26-400.0.99.0.1.0.005,4,15876,3840,4801,30.82978616
26-400.0.99.0.1.0.005,5,16005,3525,4525,27.973975551
26-400.0.99.0.1.0.005,6,15847,3651,4542,30.896296
26-400.0.99.0.1.0.005,7,15822,3455,4455,29.8725297
26-400.0.99.0.1.0.005,8,15786,4289,4906,30.35296938
26-400.0.99.0.1.0.005,9,15793,3218,4218,26.840529743
