ID,iExec,FO,IterAlvo,TotalIter,Tempo
44-800.0.99.1.0.0.005,0,14799,1365,2365,7.451067991
44-800.0.99.1.0.0.005,1,14800,1432,2432,8.585764055
44-800.0.99.1.0.0.005,2,14800,1298,2298,14.730369503
44-800.0.99.1.0.0.005,3,14798,1625,2625,16.851325826
44-800.0.99.1.0.0.005,4,14798,974,1974,12.606000509
44-800.0.99.1.0.0.005,5,14798,1103,2103,13.581125273
44-800.0.99.1.0.0.005,6,14799,1088,2088,13.497537557
44-800.0.99.1.0.0.005,7,14799,1330,2330,14.988635582
44-800.0.99.1.0.0.005,8,14798,1816,2816,18.84166377
44-800.0.99.1.0.0.005,9,14798,1175,2175,14.34307031
