ID,iExec,FO,IterAlvo,TotalIter,Tempo
10-200.0.99.0.1.0.005,0,14892,5764,6764,20.556519014
10-200.0.99.0.1.0.005,1,14944,7337,8337,25.282605079
10-200.0.99.0.1.0.005,2,14815,6074,7074,22.35710834
10-200.0.99.0.1.0.005,3,14814,6550,7550,23.443260312
10-200.0.99.0.1.0.005,4,14860,5445,6445,20.780326686
10-200.0.99.0.1.0.005,5,14804,7318,8318,26.801764937
10-200.0.99.0.1.0.005,6,14805,7173,8173,25.641956706
10-200.0.99.0.1.0.005,7,14817,5771,6771,21.775899204
10-200.0.99.0.1.0.005,8,14823,5934,6934,21.479911270
10-200.0.99.0.1.0.005,9,15010,6207,7207,22.102430732
