ID,iExec,FO,IterAlvo,TotalIter,Tempo
15-200.0.99.1.1.0.01,0,14857,2745,3745,17.132423487
15-200.0.99.1.1.0.01,1,14862,3393,4393,18.281297924
15-200.0.99.1.1.0.01,2,14845,6663,7473,30.151052174
15-200.0.99.1.1.0.01,3,14819,3612,4612,19.100001286
15-200.0.99.1.1.0.01,4,15062,2617,3617,14.459127253
15-200.0.99.1.1.0.01,5,14879,4701,5701,20.691023427
15-200.0.99.1.1.0.01,6,14808,2776,3776,13.823784239
15-200.0.99.1.1.0.01,7,14827,2913,3913,16.113899697
15-200.0.99.1.1.0.01,8,14912,2916,3916,15.288502657
15-200.0.99.1.1.0.01,9,14876,4644,5644,19.706371383
