ID,iExec,FO,IterAlvo,TotalIter,Tempo
9-200.0.99.0.0.0.01,0,14802,1747,2747,8.330843716
9-200.0.99.0.0.0.01,1,14799,1891,2891,8.157358326
9-200.0.99.0.0.0.01,2,14798,2030,3030,8.450679022
9-200.0.99.0.0.0.01,3,14800,1866,2866,7.972716206
9-200.0.99.0.0.0.01,4,14798,3428,4428,11.392937626
9-200.0.99.0.0.0.01,5,14799,2310,3310,9.886797431
9-200.0.99.0.0.0.01,6,14798,2781,3781,11.414633760
9-200.0.99.0.0.0.01,7,14799,1549,2549,7.125990063
9-200.0.99.0.0.0.01,8,14800,2132,3132,8.268909792
9-200.0.99.0.0.0.01,9,14798,3079,4079,10.325271252
