ID,iExec,FO,IterAlvo,TotalIter,Tempo
40-800.0.99.0.0.0.005,0,14798,1223,2223,11.137598827
40-800.0.99.0.0.0.005,1,14799,1132,2132,10.690946355
40-800.0.99.0.0.0.005,2,14798,1042,2042,10.253624924
40-800.0.99.0.0.0.005,3,14798,1124,2124,10.674612328
40-800.0.99.0.0.0.005,4,14800,956,1956,9.807367028
40-800.0.99.0.0.0.005,5,14798,987,1987,9.942328526
40-800.0.99.0.0.0.005,6,14799,1087,2087,10.536178116
40-800.0.99.0.0.0.005,7,14798,902,1902,9.573341079
40-800.0.99.0.0.0.005,8,14799,1242,2242,11.257944153
40-800.0.99.0.0.0.005,9,14798,1043,2043,10.265488198
