ID,iExec,FO,IterAlvo,TotalIter,Tempo
6-200.0.95.1.1.0.005,0,14903,6054,7054,27.282471146
6-200.0.95.1.1.0.005,1,14826,4042,5042,18.516008979
6-200.0.95.1.1.0.005,2,14816,5355,6355,24.294805078
6-200.0.95.1.1.0.005,3,14872,5671,6671,24.779465034
6-200.0.95.1.1.0.005,4,14830,7696,7755,30.13012665
6-200.0.95.1.1.0.005,5,14816,4684,5684,22.732766306
6-200.0.95.1.1.0.005,6,14879,6081,7081,26.698932829
6-200.0.95.1.1.0.005,7,14807,6137,7137,28.609685549
6-200.0.95.1.1.0.005,8,14956,4124,5124,19.555130973
6-200.0.95.1.1.0.005,9,15084,7024,7909,30.96198513
