ID,iExec,FO,IterAlvo,TotalIter,Tempo
22-400.0.95.1.1.0.005,0,14861,4080,4149,30.2806213
22-400.0.95.1.1.0.005,1,14816,4069,4136,30.135673527
22-400.0.95.1.1.0.005,2,14845,3676,4160,30.29050338
22-400.0.95.1.1.0.005,3,14830,3655,4211,30.2905505
22-400.0.95.1.1.0.005,4,14970,2427,3427,23.218684511
22-400.0.95.1.1.0.005,5,14909,3423,4094,30.15422836
22-400.0.95.1.1.0.005,6,14823,3330,3718,30.82559276
22-400.0.95.1.1.0.005,7,14908,3072,3685,30.42850021
22-400.0.95.1.1.0.005,8,14845,3404,3837,30.80841481
22-400.0.95.1.1.0.005,9,14820,3473,3832,30.90570270
