ID,iExec,FO,IterAlvo,TotalIter,Tempo
31-400.0.99.1.1.0.01,0,14819,1919,2919,9.329617851
31-400.0.99.1.1.0.01,1,14846,1462,2462,7.937763532
31-400.0.99.1.1.0.01,2,14813,1533,2533,8.169119155
31-400.0.99.1.1.0.01,3,14841,1531,2531,8.83410254
31-400.0.99.1.1.0.01,4,14840,1524,2524,8.99451776
31-400.0.99.1.1.0.01,5,14804,2593,3593,11.492531341
31-400.0.99.1.1.0.01,6,14856,1645,2645,8.982054817
31-400.0.99.1.1.0.01,7,14833,1878,2878,13.568938699
31-400.0.99.1.1.0.01,8,14860,1905,2905,16.490882838
31-400.0.99.1.1.0.01,9,14816,2422,3422,17.245256102
