ID,iExec,FO,IterAlvo,TotalIter,Tempo
7-200.0.95.1.1.0.01,0,14819,3720,4720,16.902804798
7-200.0.95.1.1.0.01,1,14859,2725,3725,12.165558535
7-200.0.95.1.1.0.01,2,14877,4238,5238,16.433017492
7-200.0.95.1.1.0.01,3,14814,4950,5950,20.634720481
7-200.0.95.1.1.0.01,4,14831,3977,4977,17.456064746
7-200.0.95.1.1.0.01,5,14921,4721,5721,20.821421688
7-200.0.95.1.1.0.01,6,14799,6985,7559,30.42218244
7-200.0.95.1.1.0.01,7,14970,4377,5377,19.571584651
7-200.0.95.1.1.0.01,8,14844,3723,4723,18.908068718
7-200.0.95.1.1.0.01,9,14821,4748,5748,20.859304524
