ID,iExec,FO,IterAlvo,TotalIter,Tempo
46-800.0.99.1.1.0.005,0,14848,1601,2601,8.240564182
46-800.0.99.1.1.0.005,1,14828,1079,2079,6.632547492
46-800.0.99.1.1.0.005,2,14958,2725,3725,11.930559739
46-800.0.99.1.1.0.005,3,14908,2000,3000,9.542328893
46-800.0.99.1.1.0.005,4,14813,2590,3590,11.498139496
46-800.0.99.1.1.0.005,5,14843,1199,2199,6.981032432
46-800.0.99.1.1.0.005,6,14881,2090,3090,9.828868548
46-800.0.99.1.1.0.005,7,14856,2797,3797,12.47670964
46-800.0.99.1.1.0.005,8,14837,1136,2136,6.748181059
46-800.0.99.1.1.0.005,9,14943,2245,3245,10.257746618
